DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2020-Q3,42394.4,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2020-Q2,36055.3,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2020-Q1,41846.8,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2019-Q4,46730.3,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2003-Q4,32942.1,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2003-Q3,30969.5,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2003-Q2,29695.1,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2003-Q1,28693.9,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2002-Q4,31314.3,,,F,1,A,6,EUR
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_INC_SAV(1.1),Q,N,PRT,S1,S1,B6N,_Z,_Z,_Z,XDC,V,N,T0107,2002-Q3,30045.9,,,F,1,A,6,EUR
